epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2159.39,1.66103,1.89361,1.56372,1.71792,0.44626,0.39474,0.44484,0.19741,0.36021,0.45943,0.42311,0.17188,2.03572,2.00471,1.95525,2.04642,0.0016634,0.0016634,0.0016634
87,2183.5,1.64599,1.96185,1.52094,1.68451,0.4858,0.42105,0.42324,0.16637,0.44927,0.55263,0.45673,0.1743,2.20463,2.0942,2.0895,2.1808,0.00165944,0.00165944,0.00165944
88,2207.26,1.65648,1.85875,1.48111,1.65776,0.34865,0.60526,0.38611,0.1667,0.32724,0.60526,0.38955,0.17015,1.90824,1.92318,1.9766,2.0415,0.00165548,0.00165548,0.00165548
89,2231.65,1.69022,1.89504,1.52821,1.69526,0.42091,0.36842,0.4065,0.19515,0.45098,0.39474,0.49037,0.17639,1.9757,1.91922,2.12454,2.00502,0.00165152,0.00165152,0.00165152
90,2256.3,1.62983,1.8597,1.50196,1.6664,0.78783,0.29336,0.45628,0.22531,0.85805,0.31579,0.50588,0.18145,2.03085,2.03285,2.10277,2.04988,0.00164756,0.00164756,0.00164756
91,2280.27,1.61398,1.89776,1.49201,1.64495,0.40753,0.57895,0.54811,0.23608,0.63599,0.39474,0.5167,0.18602,1.94125,2.15939,1.88818,2.01908,0.0016436,0.0016436,0.0016436
92,2303.66,1.66106,1.87912,1.46486,1.66666,0.65916,0.42105,0.49512,0.23229,0.69234,0.44737,0.53199,0.20101,1.85877,1.97864,2.31723,1.91085,0.00163964,0.00163964,0.00163964
93,2329.31,1.62135,1.9382,1.51028,1.66765,0.57515,0.53454,0.51229,0.24243,0.54683,0.50822,0.48239,0.19,1.8107,1.94309,1.95925,1.91535,0.00163568,0.00163568,0.00163568
94,2353.71,1.58947,1.9149,1.50128,1.66107,0.46215,0.57895,0.48784,0.23858,0.5722,0.42243,0.50133,0.209,1.7658,1.96317,2.13359,1.85227,0.00163172,0.00163172,0.00163172
95,2378.88,1.68645,1.98135,1.6659,1.72787,0.76531,0.31579,0.47767,0.22836,0.76947,0.31579,0.47395,0.18972,1.84488,1.97018,1.97691,1.91008,0.00162776,0.00162776,0.00162776
96,2403.05,1.56999,1.86537,1.50497,1.61247,0.49323,0.44737,0.47663,0.25588,0.52224,0.47368,0.484,0.19954,1.95045,1.87233,1.97718,1.82758,0.0016238,0.0016238,0.0016238
97,2429.97,1.59013,1.84162,1.48729,1.62358,0.44276,0.41826,0.39791,0.18794,0.49591,0.42105,0.41442,0.17619,1.84556,1.88689,2.14299,1.89894,0.00161984,0.00161984,0.00161984
98,2454.47,1.59746,1.8806,1.48838,1.64684,0.55931,0.47368,0.49666,0.21352,0.50212,0.47368,0.47864,0.1556,1.95825,1.97946,1.99271,1.93066,0.00161588,0.00161588,0.00161588
99,2478.35,1.59812,1.8602,1.4587,1.62412,0.57104,0.5255,0.58079,0.27156,0.53968,0.49379,0.5612,0.22234,1.93681,1.97366,2.00753,1.91598,0.00161192,0.00161192,0.00161192
100,2504.05,1.52851,1.81069,1.43148,1.59121,0.5624,0.47368,0.52269,0.25908,0.52236,0.44737,0.48781,0.21282,1.90053,1.88622,2.20278,1.89336,0.00160796,0.00160796,0.00160796
